word,sense,dominance,context_level,sentence
trunk,car_compartment,subordinate,3,The mechanic checked the trunk to make sure the emergency kit hadn't been removed.
trunk,car_compartment,subordinate,3,After the grocery run he loaded all the bags into the trunk before driving home.
temple,religious_building,dominant,1,temple
temple,religious_building,dominant,2,They visited the ancient temple.
temple,religious_building,dominant,2,The temple was crowded with worshippers.
temple,religious_building,dominant,2,She lit a candle inside the temple.
temple,religious_building,dominant,2,Tourists photographed the golden temple.
temple,religious_building,dominant,3,Every year thousands of pilgrims travel great distances to visit the sacred temple perched on the hillside.
temple,religious_building,dominant,3,The guide explained that the temple had been carefully restored after centuries of weathering.
temple,religious_building,dominant,3,During the festival the entire temple courtyard was filled with the sound of chanting and bells.
temple,religious_building,dominant,3,Archaeologists discovered intricate carvings hidden beneath the temple's outer walls.
temple,forehead,subordinate,1,temple
temple,forehead,subordinate,2,"He rubbed his temple, feeling a headache."
temple,forehead,subordinate,2,A vein pulsed at her temple.
temple,forehead,subordinate,2,The bruise was near his temple.
temple,forehead,subordinate,2,She pressed two fingers to her temple.
temple,forehead,subordinate,3,Exhausted from the long meeting she massaged her temple in an attempt to ease the throbbing headache.
temple,forehead,subordinate,3,The doctor noted a faint scar just above his left temple from a childhood accident.
temple,forehead,subordinate,3,He winced as the ball grazed his temple during the game.
temple,forehead,subordinate,3,Sweat trickled down from her temple as she pushed through the final mile of the race.
band,musical_group,dominant,1,band
band,musical_group,dominant,2,The band played all night.
band,musical_group,dominant,2,She joined a local band.
band,musical_group,dominant,2,The band released a new album.
band,musical_group,dominant,2,Fans lined up to see the band.
band,musical_group,dominant,3,After years of playing in small clubs the band finally signed with a major record label.
band,musical_group,dominant,3,The lead singer announced that the band would be touring across Europe next spring.
band,musical_group,dominant,3,Thousands of fans gathered outside the stadium hours before the band took the stage.
band,musical_group,dominant,3,Critics praised the band's latest album for its bold departure from their earlier sound.
band,material_strip,subordinate,1,band
band,material_strip,subordinate,2,She wore a rubber band on her wrist.
band,material_strip,subordinate,2,The band snapped under pressure.
band,material_strip,subordinate,2,He stretched the band around the box.
band,material_strip,subordinate,2,A tight band held the papers together.
band,material_strip,subordinate,3,She kept a thin rubber band around her wrist as a reminder to stop biting her nails.
band,material_strip,subordinate,3,The old elastic band had lost its stretch and snapped the moment he pulled it.
band,material_strip,subordinate,3,To keep the stack of letters organized she wrapped a wide band around each bundle.
band,material_strip,subordinate,3,The nurse secured the bandage in place with a small elastic band before checking his pulse.
tissue,biological_tissue,dominant,1,tissue
tissue,biological_tissue,dominant,2,The biopsy examined the tissue sample.
tissue,biological_tissue,dominant,2,Muscle tissue was damaged in the injury.
tissue,biological_tissue,dominant,2,The scientist studied the tissue under a microscope.
tissue,biological_tissue,dominant,2,Scar tissue formed around the wound.
tissue,biological_tissue,dominant,3,The pathologist carefully examined the tissue sample for any signs of abnormal cell growth.
tissue,biological_tissue,dominant,3,After the surgery doctors monitored how quickly the surrounding tissue began to heal.
tissue,biological_tissue,dominant,3,Researchers extracted a small piece of tissue to study its cellular structure under the microscope.
tissue,biological_tissue,dominant,3,The injury had caused significant damage to the muscle tissue around his knee.
tissue,paper_tissue,subordinate,1,tissue
tissue,paper_tissue,subordinate,2,She grabbed a tissue to wipe her nose.
tissue,paper_tissue,subordinate,2,The box of tissue was empty.
tissue,paper_tissue,subordinate,2,He sneezed and reached for a tissue.
tissue,paper_tissue,subordinate,2,A crumpled tissue sat on the desk.
tissue,paper_tissue,subordinate,3,Feeling a cold coming on she kept a box of tissue close by on her nightstand.
tissue,paper_tissue,subordinate,3,He pulled a tissue from his pocket to wipe the smudge off his glasses.
tissue,paper_tissue,subordinate,3,The waiting room had a nearly empty box of tissue sitting on a side table.
tissue,paper_tissue,subordinate,3,She dabbed her eyes with a tissue after finishing the emotional final chapter of the book.
seal,marine_animal,dominant,1,seal
seal,marine_animal,dominant,2,The seal swam near the shore.
seal,marine_animal,dominant,2,A seal barked at the tourists.
seal,marine_animal,dominant,2,The seal rested on a rock.
seal,marine_animal,dominant,2,Divers spotted a seal underwater.
seal,marine_animal,dominant,3,Tourists gathered along the pier to watch a seal playfully diving in and out of the harbor.
seal,marine_animal,dominant,3,Marine biologists tagged the young seal before releasing it back into the bay.
seal,marine_animal,dominant,3,The seal lay sunbathing on the rocks seemingly unbothered by the crowd of onlookers.
seal,marine_animal,dominant,3,Fishermen often see a curious seal following their boats along the coastline.
seal,wax_stamp,subordinate,1,seal
seal,wax_stamp,subordinate,2,The document bore the royal seal.
seal,wax_stamp,subordinate,2,She pressed a wax seal onto the envelope.
seal,wax_stamp,subordinate,2,The notary applied an official seal.
seal,wax_stamp,subordinate,2,The seal certified the document's authenticity.
seal,wax_stamp,subordinate,3,The ancient treaty was authenticated by a wax seal bearing the king's personal emblem.
seal,wax_stamp,subordinate,3,Before mailing the invitation she carefully pressed a gold wax seal onto the back of the envelope.
seal,wax_stamp,subordinate,3,The notary stamped the contract with an official seal to confirm its legal validity.
seal,wax_stamp,subordinate,3,Historians identified the letter's origin by examining the distinctive seal pressed into the wax.
racket,sports_equipment,dominant,1,racket
racket,sports_equipment,dominant,2,She swung the racket hard.
racket,sports_equipment,dominant,2,His racket broke during the match.
racket,sports_equipment,dominant,2,He bought a new tennis racket.
racket,sports_equipment,dominant,2,The racket strings needed replacing.
racket,sports_equipment,dominant,3,Before the tournament she spent hours restringing her racket to get the tension just right.
racket,sports_equipment,dominant,3,He gripped his racket tightly waiting for the serve that would decide the match.
racket,sports_equipment,dominant,3,The coach recommended a lighter racket to help improve her swing speed.
racket,sports_equipment,dominant,3,After years of use the frame of his old racket finally cracked during practice.
racket,loud_noise,subordinate,1,racket
racket,loud_noise,subordinate,2,The neighbors made a terrible racket.
racket,loud_noise,subordinate,2,What is that racket outside?
racket,loud_noise,subordinate,2,The construction crew caused quite a racket.
racket,loud_noise,subordinate,2,Stop making such a racket!
racket,loud_noise,subordinate,3,The upstairs neighbors were throwing a party and the racket kept everyone awake until dawn.
racket,loud_noise,subordinate,3,Construction workers began drilling early in the morning causing a racket that echoed through the whole building.
racket,loud_noise,subordinate,3,The dog barked incessantly adding to the racket already coming from the street below.
racket,loud_noise,subordinate,3,Passersby covered their ears as the marching band practiced creating quite a racket in the square.
